^#?([a-fA-F0-9]{6}|[a-fA-F0-9]{3})$;Cores hexadecimais no formato #CCC #CCCCC ;HTML;Tiago Heineck;
^[\+][1][\(]\d{3}[\)]\d{7}$;VERIFICA SE NUMERO E DOS ESTADOS UNIDOS;JS ;MATHEUS B;
^[Sir]+((\s[a-zA-Z]*))*$;VERIFICA SE E UM SIR;JS ;MATHEUS B;
^[a-zA-Z0-9_-]{6,20}$;SENHA;JS ;MATHEUS B;
^[0-1]{8}$;VERIFICA SE E UM BIT;JS ;MATHEUS B;
^#?([a-f0-9]{6}|[a-f0-9]{3})$;VERIFICA SE E UM HEXADECIMAL;JS ;MATHEUS B;
^[H-h][E-e][L-l][L-l][O-o]\s[W-w][O-o][R-r][L-l][D-d]$;VERIFICA SE E O PRIMEIRO PROGRAMA QUE A PESSOA ESCREVE;JS ;MATHEUS B;
^Assunto: (\w+)$;CAPTURA O ASSUNTO DO E-MAIL;JS ;MATHEUS B;
^([MC-Mc-mc]+\s\w+([\s][\w]+)*)$;VERIFICA SE E UM LANCHE DO MC DONALDS;JS ;MATHEUS B;
^([2]\,718281828459045235360287471352662)$;VERIFICA SE O NUMERO INFORMADO E O NUMERO DE EULER ATE A 33Âª CASA DECIMAL;JS ;MATHEUS B;
^[+-]?\d+\.\d+, ?[+-]?\d+\.\d+$;Verifica se e uma coordenada do google maps;JS ;JoÃ£o Marcelo;
^2([0]\d{1}[1-9]|100|[0][1-9]{1}\d)$;Verifica se o ano e do seculo 21;JS ;JoÃ£o Marcelo;
^R\$ ?(\d{1,3}.)?\d{1,3},\d{2}$|^U$ ?(\d{1,3},)?\d{1,3}.\d{2}$;Formata para valor monetario brasileiro;JS ;JoÃ£o Marcelo;
[a-zA-Z]+(ar|er|ir|or);Verifica se e uma vogal;JS ;JoÃ£o Marcelo;
[0-9][0-9]:[0-9][0-9];Validar Horas;JS ;JoÃ£o Marcelo;
<p[^>]*>;Pega todas as tags p iniciais;JS ;JoÃ£o Marcelo;
^[a-zA-Z0-9][a-zA-Z0-9\._-]+@([a-zA-Z0-9\._-]+\.)[a-zA-Z-0-9]{2,3};Verificar email;JS ;JoÃ£o Marcelo;
[0-9]{4}[/]?([0-9]{4})?;Validar ano;JS ;JoÃ£o Marcelo;
[a-zA-Z]{3}[0-9]{4};Verifica placa de carro;JS ;JoÃ£o Marcelo;
[A-Z]{2,3}-[0-6][0-9]{2};Verifica se e uma rodovia brasileira;JS ;JoÃ£o Marcelo;
^([0-2][0-3]|[2][0-3]):[0-5][0-9]$;Validar horas formato HH:mm;JS ;Danrlei Correa;
(|^)[\w.\-]{0,25}@(yahoo)\.com\.br(\W|$);verifica se e um email do yahoo;JS ;Matheus Serafini Junior;
